Price,Close,High,Low,Open,Volume
Ticker,ZC=F,ZC=F,ZC=F,ZC=F,ZC=F
Date,Close,High,Low,Open,Volume
12/4/2025,447.38,447.63,441.88,443.25,109.15K
12/3/2025,443.5,450.0,442.75,449.25,172.71K
12/2/2025,450.0,452.25,442.25,445.0,211.53K
12/1/2025,445.0,449.0,444.0,447.25,168.99K
11/28/2025,447.75,448.5,443.5,445.25,87.64K
11/27/2025,445.0,445.25,445.0,445.25,
11/26/2025,445.25,446.75,437.5,437.75,310.05K
11/25/2025,438.25,439.25,436.5,436.5,281.86K
11/24/2025,436.75,439.25,434.5,437.75,259.74K
11/21/2025,437.5,439.0,435.25,437.5,195.24K
11/20/2025,437.75,443.25,436.75,442.0,227.07K
11/19/2025,441.5,449.25,440.5,448.5,178.33K
11/18/2025,449.5,451.75,446.25,447.75,140.86K
11/17/2025,448.0,450.5,442.25,443.5,173.67K
11/14/2025,430.25,442.75,429.5,441.5,411.59K
11/13/2025,441.5,442.75,434.0,434.75,400.92K
11/12/2025,435.25,436.0,431.0,431.5,271.70K
11/11/2025,432.0,432.75,428.5,429.0,221.85K
11/10/2025,429.75,431.25,426.25,426.75,220.39K
11/7/2025,427.25,430.5,426.75,428.5,186.07K
11/6/2025,428.75,434.75,428.25,434.5,228.27K
11/5/2025,435.25,436.0,428.75,430.5,201.31K
11/4/2025,431.5,434.5,429.25,434.0,183.03K
11/3/2025,434.25,435.0,427.75,431.0,207.96K
10/31/2025,431.5,432.25,426.5,429.25,214.31K
10/30/2025,430.25,437.0,427.75,434.0,301.18K
10/29/2025,434.0,435.0,430.0,431.25,239.88K
10/28/2025,432.0,436.25,427.25,428.0,378.02K
10/27/2025,428.75,431.75,426.0,427.0,295.62K
10/24/2025,423.25,427.5,423.0,427.25,211.85K
10/23/2025,428.0,428.5,421.0,423.0,206.57K
10/22/2025,423.0,424.0,418.5,419.75,186.82K
10/21/2025,419.75,424.5,418.5,423.25,181.05K
10/20/2025,423.25,424.0,419.5,422.5,179.47K
10/17/2025,422.5,424.75,421.0,421.25,185.45K
10/16/2025,421.75,423.5,416.25,416.75,304.26K
10/15/2025,416.75,418.5,411.25,412.75,195.17K
10/14/2025,413.0,413.5,409.25,410.75,192.43K
10/13/2025,410.75,415.0,410.5,413.0,157.49K
10/10/2025,413.0,419.25,412.25,418.25,233.65K
10/9/2025,418.25,423.25,418.0,422.0,207.21K
10/8/2025,422.0,422.75,418.5,419.25,167.36K
10/7/2025,419.75,424.5,419.0,421.5,219.83K
10/6/2025,421.75,422.5,417.25,419.0,141.86K
10/3/2025,419.0,423.0,418.5,420.75,179.52K
10/2/2025,421.75,422.5,414.75,417.25,192.90K
10/1/2025,416.5,419.5,410.5,415.75,285.17K
9/30/2025,415.5,421.5,414.0,421.25,279.18K
9/29/2025,421.5,422.75,418.75,421.0,146.15K
9/26/2025,422.0,425.75,421.25,425.25,131.81K
9/25/2025,425.75,428.25,423.5,423.75,146.85K
9/24/2025,424.25,427.5,423.5,425.0,134.26K
9/23/2025,426.25,426.5,418.75,421.75,145.93K
9/22/2025,421.75,424.75,418.25,424.0,189.77K
9/19/2025,424.0,429.75,422.25,424.0,162.41K
9/18/2025,423.75,428.0,423.5,426.5,113.26K
9/17/2025,426.75,431.25,425.5,428.75,146.85K
9/16/2025,429.5,431.25,423.0,423.0,178.78K
9/15/2025,423.25,428.5,422.0,426.25,192.79K
9/12/2025,399.0,405.25,398.5,402.5,0.04K
9/11/2025,399.0,398.25,396.75,398.25,0.12K
9/10/2025,397.25,401.25,395.5,401.0,0.06K
9/9/2025,401.25,403.5,398.75,402.0,0.15K
9/8/2025,403.0,403.75,394.0,398.0,0.55K
9/5/2025,418.0,424.75,417.25,420.0,166.15K
9/4/2025,419.75,421.0,414.25,418.0,153.76K
9/3/2025,418.0,424.25,416.25,423.0,187.05K
9/2/2025,423.0,423.5,414.0,418.0,246.41K
9/1/2025,418.0,419.5,418.0,419.5,
8/29/2025,420.25,420.5,409.75,410.0,277.56K
8/28/2025,410.0,411.0,403.5,406.0,208.71K
8/27/2025,406.0,410.0,405.25,409.25,204.08K
8/26/2025,409.5,414.5,408.5,412.0,266.96K
8/25/2025,412.25,416.5,411.25,413.0,195.06K
8/22/2025,411.5,413.5,409.75,411.75,180.16K
8/21/2025,411.75,413.75,403.25,403.5,256.77K
8/20/2025,404.0,406.0,401.25,403.5,143.81K
8/19/2025,403.25,406.0,401.5,406.0,141.71K
8/18/2025,406.5,408.0,401.25,404.5,167.86K
8/15/2025,405.25,405.75,397.0,397.75,202.74K
8/14/2025,397.25,399.0,392.5,397.0,186.63K
8/13/2025,397.25,398.5,393.5,394.0,249.12K
8/12/2025,394.5,407.75,392.0,407.75,418.57K
8/11/2025,407.75,409.25,403.0,405.0,222.15K
8/8/2025,405.5,411.0,404.25,406.75,218.13K
8/7/2025,407.0,408.0,401.25,401.5,209.90K
8/6/2025,401.25,402.0,396.75,402.0,188.25K
8/5/2025,402.0,406.75,401.5,406.0,205.90K
8/4/2025,407.0,412.75,406.75,411.0,165.95K
8/1/2025,410.75,416.0,410.0,413.25,137.74K
7/31/2025,413.75,414.25,408.75,412.0,167.47K
7/30/2025,412.25,414.5,410.0,411.0,148.31K
7/29/2025,411.0,415.0,409.25,412.5,209.24K
7/28/2025,414.0,419.75,412.75,419.0,160.91K
7/25/2025,419.0,422.0,417.75,420.5,92.31K
7/24/2025,420.75,423.0,417.5,417.5,119.51K
7/23/2025,417.5,420.25,415.75,418.0,95.25K
7/22/2025,418.0,424.75,416.75,423.25,121.71K
7/21/2025,422.25,427.75,420.0,425.0,137.08K
7/18/2025,427.75,430.25,421.5,421.5,156.90K
7/17/2025,421.0,425.75,419.5,423.5,122.21K
7/16/2025,424.0,425.75,418.75,419.0,186.72K
7/15/2025,419.75,424.0,413.0,417.75,210.30K
7/14/2025,400.0,401.0,391.25,394.5,185.26K
7/11/2025,412.25,418.0,411.5,416.0,157.23K
7/10/2025,416.5,417.0,412.5,415.0,154.05K
7/9/2025,415.5,416.5,411.75,414.0,201.14K
7/8/2025,414.25,420.75,413.25,420.75,229.02K
7/7/2025,420.75,429.75,419.75,429.5,211.23K
7/3/2025,437.0,442.25,432.75,433.0,201.52K
7/2/2025,433.5,434.0,417.5,422.25,192.16K
7/1/2025,422.0,425.0,416.5,424.0,179.74K
6/30/2025,425.5,429.5,422.25,426.5,201.10K
6/27/2025,411.5,412.25,404.25,404.25,189.08K
6/26/2025,404.0,408.75,402.25,405.0,205.56K
6/25/2025,405.0,413.75,404.0,412.0,192.10K
6/24/2025,412.25,418.5,411.75,417.75,185.36K
6/23/2025,417.5,428.5,416.75,427.75,165.84K
6/20/2025,428.75,435.0,428.25,433.0,189.74K
6/19/2025,433.25,433.5,432.5,432.5,
6/18/2025,433.5,434.5,430.0,431.5,225.88K
6/17/2025,431.5,437.5,429.5,434.75,231.17K
6/16/2025,434.75,446.5,431.25,444.0,177.62K
6/13/2025,444.5,445.25,435.0,438.25,179.12K
6/12/2025,438.5,441.75,435.25,436.5,190.44K
6/11/2025,437.0,444.75,436.0,439.0,201.68K
6/10/2025,438.75,439.5,429.25,433.5,245.10K
6/9/2025,433.5,445.75,432.75,442.25,228.60K
6/6/2025,442.5,445.0,435.0,438.25,229.80K
6/5/2025,439.5,442.75,433.25,438.5,217.52K
6/4/2025,438.75,446.0,437.5,438.5,220.75K
6/3/2025,438.5,442.5,434.25,438.25,209.49K
6/2/2025,438.25,451.0,437.75,444.0,211.15K
5/30/2025,444.0,449.5,443.0,447.0,140.11K
5/29/2025,447.0,453.0,443.5,452.25,157.59K
5/28/2025,451.0,463.0,450.0,459.5,196.40K
5/27/2025,459.5,463.0,456.0,459.0,153.15K
5/26/2025,459.0,459.25,458.75,459.25,167.36K
5/23/2025,459.5,464.5,455.0,462.75,167.36K
5/22/2025,463.0,464.75,456.5,459.25,192.80K
5/21/2025,461.0,462.0,453.5,454.5,201.43K
5/20/2025,454.5,455.5,444.75,446.75,194.89K
5/19/2025,447.5,449.75,443.0,443.5,179.62K
5/16/2025,443.5,451.5,442.75,449.0,173.41K
5/15/2025,448.5,450.5,443.5,444.75,191.18K
5/14/2025,438.5,440.25,436.75,440.25,0.04K
5/13/2025,436.0,434.5,430.75,433.5,0.07K
5/12/2025,440.25,447.5,438.5,444.0,0.21K
5/9/2025,449.75,455.0,447.0,449.0,179.57K
5/8/2025,447.5,452.0,442.25,450.0,256.17K
5/7/2025,449.25,463.5,448.5,457.0,248.11K
5/6/2025,455.5,457.25,452.5,454.75,218.02K
5/5/2025,454.25,470.75,453.25,469.0,270.57K
