Power Futures Historical Data
From ERCOT Hub Average Settlement Prices
Date,Close,High,Low,Open,Volume
2022-06-01,70.56625,234.18,36.85,76.08,
2022-06-02,73.94229166666666,108.65,43.49,53.5,
2022-06-03,66.58541666666666,86.52,42.66,60.82,
2022-06-04,64.92104166666667,91.07,40.52,60.66,
2022-06-05,38.25427083333333,83.55,-8.6,21.88,
2022-06-06,58.6496875,142.4,12.1,50.3,
2022-06-07,78.14979166666667,192.83,32.13,59.62,
2022-06-08,63.63229166666667,117.07,23.9,84.04,
2022-06-09,75.46729166666667,122.87,59.95,72.9,
2022-06-10,68.2021875,110.87,44.99,64.2,
2022-06-11,57.53604166666667,88.13,14.65,53.86,
2022-06-12,54.7278125,113.6,7.5,67.36,
2022-06-13,63.612291666666664,131.54,45.41,58.86,
2022-06-14,61.73322916666667,143.13,35.32,43.75,
2022-06-15,76.23458333333333,325.32,19.99,68.61,
2022-06-16,70.159375,237.31,33.59,45.06,
2022-06-17,65.5446875,111.48,40.43,52.41,
2022-06-18,61.4178125,79.25,45.54,52.87,
2022-06-19,57.004999999999995,92.26,40.23,47.14,
2022-06-20,67.42989583333333,230.35,42.38,49.7,
2022-06-21,69.1696875,146.39,43.24,57.64,
2022-06-22,75.82947916666667,179.69,41.28,55.22,
2022-06-23,70.05802083333333,147.2,39.59,47.68,
2022-06-24,57.708020833333336,126.14,31.67,42.39,
2022-06-25,61.14083333333334,164.18,29.22,39.14,
2022-06-26,54.24208333333333,153.58,33.53,40.85,
2022-06-27,64.56479166666666,195.56,42.27,55.29,
2022-06-28,62.350833333333334,78.56,47.97,57.57,
2022-06-29,69.84270833333333,197.31,48.25,58.27,
2022-06-30,68.05510416666667,287.39,36.12,50.49,
2022-07-01,64.09375,262.51,39.09,63.21,
2022-07-02,59.336666666666666,123.56,37.83,56.21,
2022-07-03,49.4665625,63.35,31.15,56.25,
2022-07-04,45.49072916666666,118.77,23.39,52.35,
2022-07-05,56.9871875,290.84,20.57,35.35,
2022-07-06,55.36041666666667,97.96,26.95,53.2,
2022-07-07,64.19322916666667,229.87,30.09,38.36,
2022-07-08,222.64020833333333,2710.58,31.59,39.44,
2022-07-09,374.1173958333333,3943.17,37.91,45.38,
2022-07-10,204.26020833333334,1177.87,44.52,75.0,
2022-07-11,112.09333333333332,744.49,39.15,53.54,
2022-07-12,176.85479166666667,1455.08,39.49,46.96,
2022-07-13,1131.2207291666666,5101.55,60.29,67.35,
2022-07-14,54.46760416666667,74.42,40.22,64.01,
2022-07-15,60.3675,89.44,38.92,43.78,
2022-07-16,62.37114583333334,164.26,34.09,40.66,
2022-07-17,233.14541666666665,2627.44,31.81,49.23,
2022-07-18,248.05072916666666,1480.34,39.75,46.31,
2022-07-19,63.48791666666667,400.02,34.75,50.82,
2022-07-20,226.70322916666666,2140.39,35.41,46.4,
2022-07-21,77.010625,194.78,49.47,66.26,
2022-07-22,65.0178125,81.55,47.79,68.64,
2022-07-23,58.51479166666667,77.93,16.94,61.03,
2022-07-24,69.4590625,163.27,17.58,53.27,
2022-07-25,68.69583333333334,110.65,42.17,58.78,
2022-07-26,77.29135416666666,191.57,37.69,63.04,
2022-07-27,83.68645833333333,167.25,58.77,76.85,
2022-07-28,88.21218750000001,284.24,55.85,80.05,
2022-07-29,74.1075,96.54,52.8,66.57,
2022-07-30,83.7521875,130.55,59.3,78.04,
2022-07-31,66.80624999999999,134.29,31.04,76.22,
2022-08-01,67.1575,92.98,38.88,62.21,
2022-08-02,82.73291666666667,925.32,31.34,68.97,
2022-08-03,98.66645833333332,590.15,29.53,50.89,
2022-08-04,74.8621875,214.09,39.78,53.1,
2022-08-05,72.65302083333333,420.66,49.07,67.69,
2022-08-06,60.938229166666666,81.05,43.64,54.42,
2022-08-07,69.24187500000001,232.28,38.85,58.25,
2022-08-08,129.2525,816.19,47.2,70.08,
2022-08-09,131.97104166666665,882.11,48.5,74.15,
2022-08-10,73.845625,107.08,51.47,71.39,
2022-08-11,121.18479166666667,827.65,60.31,69.49,
2022-08-12,111.23895833333334,445.19,67.74,73.97,
2022-08-13,105.50364583333334,382.15,69.21,76.69,
2022-08-14,71.38541666666667,115.42,45.51,76.81,
2022-08-15,68.308125,116.55,47.95,54.54,
2022-08-16,100.17645833333334,516.58,49.93,57.39,
2022-08-17,115.77218749999999,892.73,50.9,75.86,
2022-08-18,88.541875,137.21,75.43,80.33,
2022-08-19,75.50875,89.33,57.87,69.63,
2022-08-20,69.24875,87.22,52.25,60.42,
2022-08-21,79.03333333333333,178.83,55.12,75.33,
2022-08-22,92.6934375,470.77,58.77,81.9,
2022-08-23,106.08520833333334,470.16,77.29,81.95,
2022-08-24,91.17489583333334,145.04,78.58,88.28,
2022-08-25,109.91822916666666,347.86,62.48,80.65,
2022-08-26,94.77489583333333,342.59,58.01,80.48,
2022-08-27,71.389375,104.12,49.01,62.89,
2022-08-28,78.2090625,371.9,45.32,68.26,
2022-08-29,77.70041666666667,93.26,49.02,80.33,
2022-08-30,74.14979166666667,87.03,53.54,53.57,
2022-08-31,84.46572916666666,183.89,58.32,73.29,
2022-09-01,81.91125,137.97,64.37,74.06,
2022-09-02,76.24729166666667,104.61,51.8,74.92,
2022-09-03,79.77968750000001,108.23,72.73,80.84,
2022-09-04,61.14208333333334,84.21,46.88,73.88,
2022-09-05,65.79145833333332,115.76,43.26,46.66,
2022-09-06,146.62083333333334,727.07,53.93,70.55,
2022-09-07,78.82260416666666,157.46,57.59,77.42,
2022-09-08,67.44854166666666,112.03,47.15,55.42,
2022-09-09,65.1775,135.36,46.04,52.22,
2022-09-10,59.93385416666666,80.03,44.69,46.76,
2022-09-11,74.56447916666667,364.23,37.6,48.06,
2022-09-12,68.22687499999999,166.4,47.23,72.0,
2022-09-13,59.26083333333333,95.69,40.43,51.35,
2022-09-14,56.05447916666666,74.69,41.85,51.95,
2022-09-15,56.25572916666667,76.1,22.49,57.54,
2022-09-16,60.185520833333335,76.61,35.69,49.89,
2022-09-17,52.411249999999995,83.51,30.46,52.78,
2022-09-18,58.8446875,120.58,31.06,61.7,
2022-09-19,67.01593749999999,268.82,38.72,51.49,
2022-09-20,61.43395833333333,151.12,42.9,49.01,
2022-09-21,61.33354166666667,176.35,39.55,45.57,
2022-09-22,58.2496875,99.17,35.95,42.85,
2022-09-23,61.9553125,91.91,46.79,63.18,
2022-09-24,52.193333333333335,142.37,30.25,47.1,
2022-09-25,54.99302083333333,185.26,35.17,37.93,
2022-09-26,53.04572916666667,169.31,29.37,39.7,
2022-09-27,51.46552083333333,221.06,25.03,46.57,
2022-09-28,49.88427083333334,118.37,31.34,33.46,
2022-09-29,47.00958333333333,99.49,33.3,48.69,
2022-09-30,41.369479166666665,108.38,27.03,31.87,
2022-10-01,40.55125,153.02,21.87,25.78,
2022-10-02,44.48770833333333,79.78,28.09,28.09,
2022-10-03,45.18177083333333,110.4,28.72,33.87,
2022-10-04,43.06166666666667,96.06,27.38,30.8,
2022-10-05,50.22572916666667,173.34,24.64,28.16,
2022-10-06,90.4575,731.37,46.28,52.41,
2022-10-07,53.7034375,73.01,40.66,57.49,
2022-10-08,53.38166666666667,77.83,37.11,60.28,
2022-10-09,52.547604166666666,73.04,42.53,54.02,
2022-10-10,49.81968749999999,72.84,36.55,48.65,
2022-10-11,37.73260416666667,70.54,23.26,42.73,
2022-10-12,122.61177083333332,1714.67,9.53,22.48,
2022-10-13,73.32697916666667,584.13,30.99,50.28,
2022-10-14,43.5075,70.18,25.4,52.85,
2022-10-15,81.85114583333333,744.99,30.48,36.0,
2022-10-16,62.31614583333334,351.83,37.63,37.63,
2022-10-17,43.72625,67.33,27.58,47.68,
2022-10-18,42.476145833333334,83.3,30.82,36.17,
2022-10-19,34.72677083333333,73.2,-1.58,35.7,
2022-10-20,44.50791666666667,377.63,-6.82,5.37,
2022-10-21,28.309270833333333,58.97,6.41,38.06,
2022-10-22,24.589375,49.68,4.07,28.91,
2022-10-23,21.4103125,37.99,9.19,21.82,
2022-10-24,34.744375,175.57,9.34,34.47,
2022-10-25,34.02354166666667,194.35,-1.0,18.29,
2022-10-26,24.503020833333334,48.0,0.0,32.97,
2022-10-27,27.322916666666668,74.17,-1.39,19.71,
2022-10-28,51.17208333333334,370.02,21.81,43.76,
2022-10-29,51.8359375,123.54,26.16,57.75,
2022-10-30,49.22177083333333,80.66,28.78,48.45,
2022-10-31,44.425000000000004,67.59,27.78,46.41,
2022-11-01,28.874166666666667,39.53,16.26,30.52,
2022-11-02,19.722291666666667,35.29,8.23,11.53,
2022-11-03,20.126770833333335,45.24,10.15,17.51,
2022-11-04,17.3309375,53.2,-40.02,17.69,
2022-11-05,15.583333333333334,35.58,3.25,25.48,
2022-11-06,50.5669,892.29,1.46,7.94,
2022-11-07,44.028333333333336,83.24,16.31,24.71,
2022-11-08,28.016041666666666,90.03,17.11,22.47,
2022-11-09,27.151875,85.26,12.25,18.74,
2022-11-10,39.3371875,286.55,4.04,11.01,
2022-11-11,29.1059375,86.64,1.48,34.8,
2022-11-12,33.078541666666666,78.67,23.43,28.74,
2022-11-13,22.297708333333333,59.96,0.44,23.86,
2022-11-14,35.641666666666666,331.41,17.21,17.86,
2022-11-15,53.57354166666667,172.51,35.3,42.55,
2022-11-16,85.76635416666666,414.33,37.51,85.36,
2022-11-17,43.79479166666667,126.07,27.56,55.73,
2022-11-18,42.03,70.95,18.31,19.98,
2022-11-19,66.27739583333333,130.46,49.56,49.56,
2022-11-20,58.217395833333335,122.75,33.77,70.26,
2022-11-21,50.3803125,84.21,31.95,37.94,
2022-11-22,44.97875,73.48,35.9,36.06,
2022-11-23,49.41614583333333,77.12,30.6,36.58,
2022-11-24,53.49104166666667,214.42,10.02,36.79,
2022-11-25,23.484166666666667,54.88,-1.73,24.44,
2022-11-26,54.30885416666666,195.19,25.07,50.32,
2022-11-27,59.673125,321.78,33.17,56.74,
2022-11-28,33.88520833333333,71.66,5.97,71.66,
2022-11-29,29.12427083333333,124.22,0.97,0.97,
2022-11-30,48.80489583333334,174.03,26.91,26.96,
2022-12-01,57.8725,265.69,31.32,60.53,
2022-12-02,63.5740625,296.12,25.24,33.0,
2022-12-03,37.82927083333333,141.06,15.98,64.35,
2022-12-04,33.206354166666664,64.46,24.27,45.64,
2022-12-05,27.962500000000002,74.3,18.01,24.4,
2022-12-06,42.7209375,78.45,21.2,22.27,
2022-12-07,49.904583333333335,239.35,22.8,24.54,
2022-12-08,37.74458333333333,81.4,24.39,31.49,
2022-12-09,50.8725,199.03,32.81,42.0,
2022-12-10,51.63072916666667,209.89,32.94,60.65,
2022-12-11,47.80864583333334,92.01,29.64,64.87,
2022-12-12,21.4015625,32.39,9.48,31.91,
2022-12-13,39.782291666666666,197.43,-0.57,7.95,
2022-12-14,29.022291666666664,65.25,-1.58,38.03,
2022-12-15,37.225520833333334,77.39,24.4,33.64,
2022-12-16,42.59791666666667,107.47,26.56,34.36,
2022-12-17,53.330625,243.05,23.93,34.51,
2022-12-18,23.189895833333335,41.27,2.17,41.27,
2022-12-19,34.95260416666667,76.45,5.58,11.35,
2022-12-20,39.41291666666667,66.84,23.16,32.94,
2022-12-21,38.99583333333333,347.06,8.57,50.83,
2022-12-22,18.025729166666668,45.55,-1.54,0.99,
2022-12-23,557.5269791666667,3701.72,45.05,45.05,
2022-12-24,63.1865625,136.29,24.9,89.75,
2022-12-25,31.985208333333333,81.35,-3.93,47.96,
2022-12-26,23.954895833333335,48.33,-16.78,17.19,
2022-12-27,22.923020833333336,66.12,-4.0,52.68,
2022-12-28,8.770416666666668,45.14,-2.75,10.67,
2022-12-29,16.901979166666667,45.0,-11.26,1.24,
2022-12-30,27.02989583333333,80.0,9.69,63.38,
2022-12-31,4.830729166666667,57.54,-2.77,3.91,
2023-01-01,12.542604166666665,65.87,-2.56,-2.56,
2023-01-02,10.780208333333334,69.88,-30.75,-2.61,
2023-01-03,22.016562500000003,278.01,-2.33,2.68,
2023-01-04,21.535625,63.91,0.4,21.26,
2023-01-05,30.193020833333335,80.35,11.74,24.25,
2023-01-06,15.262500000000001,115.27,-0.31,10.06,
2023-01-07,21.351249999999997,53.97,11.41,19.3,
2023-01-08,17.331354166666667,30.52,-1.81,22.5,
2023-01-09,17.271041666666665,60.69,-0.84,-0.84,
2023-01-10,15.588333333333333,62.97,5.78,18.71,
2023-01-11,14.175104166666666,112.3,-2.54,6.76,
2023-01-12,9.85125,40.74,-18.89,-3.48,
2023-01-13,24.934895833333332,45.82,13.82,24.88,
2023-01-14,13.545416666666666,35.44,-1.13,11.89,
2023-01-15,3.830833333333333,20.8,-3.32,2.0,
2023-01-16,33.48166666666666,334.2,1.98,2.2,
2023-01-17,31.094895833333336,76.12,11.4,11.68,
2023-01-18,15.679791666666667,50.99,-0.73,26.4,
2023-01-19,19.9025,79.59,-1.04,8.83,
2023-01-20,13.52125,44.44,4.92,14.23,
2023-01-21,18.1675,39.67,5.61,5.61,
