date,region,description,latitude,longitude,temp_avg_c,temp_max_c,temp_min_c,precipitation_mm,solar_radiation_kwh_m2,wind_speed_ms,wind_direction_deg
2020-12-03,Houston_US,US Energy Hub; GEN_COASTAL; GEN_SOUTHEAST,29.7604,-95.3698,8.53,14.23,4.44,0.02,2.5783,4.51,335.7
2020-12-04,Houston_US,US Energy Hub; GEN_COASTAL; GEN_SOUTHEAST,29.7604,-95.3698,7.61,14.53,3.04,0.03,3.5712,2.61,350.5
2020-12-05,Houston_US,US Energy Hub; GEN_COASTAL; GEN_SOUTHEAST,29.7604,-95.3698,8.35,14.56,2.65,0.63,1.3668,1.78,55.0
2020-12-06,Houston_US,US Energy Hub; GEN_COASTAL; GEN_SOUTHEAST,29.7604,-95.3698,10.01,17.67,5.33,0.23,3.7025,2.81,309.9
2020-12-07,Houston_US,US Energy Hub; GEN_COASTAL; GEN_SOUTHEAST,29.7604,-95.3698,9.72,18.0,3.31,0.0,4.1551,3.04,344.8
2020-12-08,Houston_US,US Energy Hub; GEN_COASTAL; GEN_SOUTHEAST,29.7604,-95.3698,11.84,22.01,3.96,0.0,4.0759,2.42,272.8
2020-12-09,Houston_US,US Energy Hub; GEN_COASTAL; GEN_SOUTHEAST,29.7604,-95.3698,12.79,24.45,4.82,0.0,4.0651,2.93,232.6
2020-12-10,Houston_US,US Energy Hub; GEN_COASTAL; GEN_SOUTHEAST,29.7604,-95.3698,14.98,23.78,7.67,0.0,3.6766,3.49,189.7
2020-12-11,Houston_US,US Energy Hub; GEN_COASTAL; GEN_SOUTHEAST,29.7604,-95.3698,18.27,21.34,15.03,8.31,1.1993,3.51,175.0
2020-12-12,Houston_US,US Energy Hub; GEN_COASTAL; GEN_SOUTHEAST,29.7604,-95.3698,14.29,19.48,10.76,0.1,2.0026,2.88,16.4
2020-12-13,Houston_US,US Energy Hub; GEN_COASTAL; GEN_SOUTHEAST,29.7604,-95.3698,13.6,23.64,4.9,15.57,0.8347,6.24,347.5
2020-12-14,Houston_US,US Energy Hub; GEN_COASTAL; GEN_SOUTHEAST,29.7604,-95.3698,6.37,12.16,2.52,0.0,1.698,3.44,7.0
2020-12-15,Houston_US,US Energy Hub; GEN_COASTAL; GEN_SOUTHEAST,29.7604,-95.3698,7.5,10.41,6.06,1.0,0.8803,3.04,54.0
2020-12-16,Houston_US,US Energy Hub; GEN_COASTAL; GEN_SOUTHEAST,29.7604,-95.3698,5.75,11.22,0.67,0.02,3.6826,3.76,338.4
2020-12-17,Houston_US,US Energy Hub; GEN_COASTAL; GEN_SOUTHEAST,29.7604,-95.3698,5.15,14.12,-1.57,0.0,4.0858,1.81,91.5
2020-12-18,Houston_US,US Energy Hub; GEN_COASTAL; GEN_SOUTHEAST,29.7604,-95.3698,11.14,18.91,2.7,0.17,1.8778,4.14,129.9
2020-12-19,Houston_US,US Energy Hub; GEN_COASTAL; GEN_SOUTHEAST,29.7604,-95.3698,15.0,19.38,9.41,25.29,0.9737,3.04,117.6
2020-12-20,Houston_US,US Energy Hub; GEN_COASTAL; GEN_SOUTHEAST,29.7604,-95.3698,11.74,18.35,6.05,0.19,3.8021,2.35,320.6
2020-12-21,Houston_US,US Energy Hub; GEN_COASTAL; GEN_SOUTHEAST,29.7604,-95.3698,11.68,20.39,5.31,0.09,3.7654,2.43,198.4
2020-12-22,Houston_US,US Energy Hub; GEN_COASTAL; GEN_SOUTHEAST,29.7604,-95.3698,13.23,20.68,7.86,0.0,3.6578,3.13,146.3
2020-12-23,Houston_US,US Energy Hub; GEN_COASTAL; GEN_SOUTHEAST,29.7604,-95.3698,17.92,24.24,9.99,2.2,2.5222,5.18,234.0
